CUST,PRNCPL,SLSMN
S08874,F03,R40
S11771,F03,R24
S11880,F03,R40
S01954,F03,Z14
S00720,F03,Z14
S09243,F03,R23
S12057,F03,R24
S08722,F03,R40
S11407,F03,R23
S11844,F03,R24
S11869,F03,Z14
S11890,F03,R36
S11443,F03,R40
S03875,F03,R29
S11860,F03,R36
S09476,F03,R40
S09723,F03,R36
S11779,F03,R29
S11780,F03,R29
S11781,F03,R29
S03173,F03,R23
S11359,F03,R24
S10979,F03,R36
S12118,F03,R36
S06831,F03,R40
S10995,F03,R40
S06655,F03,R29
S11576,F03,R40
S11997,F03,R36
S12000,F03,R40
S09355,F03,Z14
S10941,F03,R24
S12060,F03,R36
S11032,F03,R24
S10896,F03,R24
S11104,F03,R40
S10884,F03,R24
S01820,F03,Z14
S11023,F03,R40
S09828,F03,R36
S10992,F03,R40
S11342,F03,R40
S12101,F03,R23
S06455,F03,R29
